Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
06/18/2015,BUIC,4D,,SIL,S485122,IL,701 N. Sacramento,(773) 265-7605,6820263
06/18/2015,BUIC,4D,,TAN,L441476,IL,701 N. Sacramento,(773) 265-7605,6820326
06/18/2015,BUIC,4D,,RED,V280608,IL,10300 S. Doty,(773) 568-8495,2766353
06/18/2015,BUIC,4D,,WHI,E487884,IL,701 N. Sacramento,(773) 265-7605,6820271
06/18/2015,BUIC,LL,,WHI,V599949,IL,10300 S. Doty,(773) 785-9752,1715312
06/18/2015,CADI,2T,,BLU,S397599,IL,701 N. Sacramento,(773) 265-7605,6820267
06/18/2015,CADI,4D,,TAN,V754316,IL,10300 S. Doty,(773) 568-8495,2766350
06/18/2015,CADI,4D,DEV,WHI,,IL,701 N. Sacramento,(773) 265-7605,6820293
06/18/2015,CADI,4D,DEV,WHI,E442445,IL,701 N. Sacramento,(773) 265-7605,6820281
06/18/2015,CADI,4D,,GLD,EL8BD,IL,701 N. Sacramento,(773) 265-7605,6820334
06/18/2015,CADI,4D,,BLK,V752269,IL,701 N. Sacramento,(773) 265-7605,6820327
06/18/2015,CHEV,2D,,GLD,V949891,IL,701 N. Sacramento,(773) 265-7605,6820304
06/18/2015,CHEV,2D,MOC,GRY,S710935,IL,701 N. Sacramento,(773) 265-7605,6820305
06/18/2015,CHEV,2D,,RED,E672708,IL,10300 S. Doty,(773) 568-8495,2766339
06/18/2015,CHEV,4D,CAV,BLU,H369707,IL,701 N. Sacramento,(773) 265-7605,6820285
06/18/2015,CHEV,4D,,BLK,Z80EPP,NJ,10300 S. Doty,(773) 568-8495,2766352
06/18/2015,CHEV,4D,MAL,GRY,821THZ,WI,701 N. Sacramento,(773) 265-7605,6820300
06/18/2015,CHEV,4D,,RED,KELMEL4,IL,10300 S. Doty,(773) 568-8495,2766348
06/18/2015,CHEV,4D,,TAN,E435696,IL,701 N. Sacramento,(773) 265-7605,6820288
06/18/2015,CHEV,4D,IMP,GLD,E727286,IL,701 N. Sacramento,(773) 265-7605,6820310
06/18/2015,CHEV,4T,,BLU,596EJH,OR,701 N. Sacramento,(773) 265-7605,6820276
06/18/2015,CHEV,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2766372
06/18/2015,CHEV,LL,,WHI,K747937,IL,701 N. Sacramento,(773) 265-7605,6820274
06/18/2015,CHEV,LL,,GRY,9085859,IL,10300 S. Doty,(773) 568-8495,2766368
06/18/2015,CHEV,LL,,WHI,R943245,IL,701 N. Sacramento,(773) 265-7605,6820256
06/18/2015,CHEV,PK,,BLU,59110GB,IL,701 N. Sacramento,(773) 265-7605,6820282
06/18/2015,CHEV,VN,AST,GRY,L760464,IL,701 N. Sacramento,(773) 265-7605,6820284
06/18/2015,CHRY,4D,,BLU,L927808,IL,701 N. Sacramento,(773) 265-7605,6820302
06/18/2015,CHRY,VN,TOW,SIL,E479542,IL,701 N. Sacramento,(773) 265-7605,6820280
06/18/2015,CHRY,VN,,GRN,645RSN,WI,10300 S. Doty,(773) 568-8495,2766366
06/18/2015,DODG,4D,,GRY,S433905,IL,400 E. Lower Wacker,(312) 744-7550,928723
06/18/2015,DODG,4D,,RED,A918599,IL,10300 S. Doty,(773) 568-8495,2766345
06/18/2015,DODG,4D,,GRN,R506008,IL,701 N. Sacramento,(773) 265-1846,1533494
06/18/2015,DODG,4D,,RED,P409767,IL,10300 S. Doty,(773) 568-8495,2766356
06/18/2015,DODG,4D,,BLK,175S328,IL,701 N. Sacramento,(773) 265-7605,6820262
06/18/2015,DODG,4D,STA,GRN,N553922,IL,701 N. Sacramento,(773) 265-7605,6820312
06/18/2015,DODG,VN,,SIL,V829220,IL,10300 S. Doty,(773) 568-8495,2766349
06/18/2015,DODG,VN,,RED,14279757,GA,701 N. Sacramento,(773) 265-7605,6820258
06/18/2015,DODG,VN,,SIL,V134889,IL,10300 S. Doty,(773) 568-8495,2766367
06/18/2015,DODG,VN,TK,RED,,IL,10300 S. Doty,(773) 568-8495,2766338
06/18/2015,DODG,VN,CVN,GRN,,IL,701 N. Sacramento,(773) 265-7605,6820315
06/18/2015,FORD,4D,VIC,WHI,,IL,10300 S. Doty,(773) 568-8495,2766357
06/18/2015,FORD,4D,TAU,BLU,S895691,IL,701 N. Sacramento,(773) 265-7605,6820298
06/18/2015,FORD,4D,,SIL,S646572,IL,701 N. Sacramento,(773) 265-7605,6820261
06/18/2015,FORD,4D,,MAR,V136056,IL,10300 S. Doty,(773) 568-8495,2766337
06/18/2015,FORD,4T,,BLU,S975894,IL,701 N. Sacramento,(773) 265-7605,6820278
06/18/2015,FORD,LL,,WHI,S416411,IL,10300 S. Doty,(773) 568-8495,2766355
06/18/2015,FORD,LL,,WHI,E159034,IL,701 N. Sacramento,(773) 265-7605,6820323
06/18/2015,FORD,LL,EXP,GRN,V769684,IL,701 N. Sacramento,(773) 265-7605,6820306
06/18/2015,FORD,LL,EXP,BLK,N558758,IL,701 N. Sacramento,(773) 265-7605,6820316
06/18/2015,FORD,LL,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6820309
06/18/2015,FORD,,EC2,WHI,R981191,IL,701 N. Sacramento,(773) 265-7605,6820292
06/18/2015,HOND,2T,,SIL,V331683,IL,701 N. Sacramento,(773) 265-7605,6820273
06/18/2015,HOND,4D,,GRY,Y813424,IL,10300 S. Doty,(773) 568-8495,2766361
06/18/2015,HOND,4D,,BLU,320KAN,FL,701 N. Sacramento,(773) 265-7605,6820321
06/18/2015,HOND,4D,CIV,BLK,V934656,IL,701 N. Sacramento,(773) 265-7605,6820289
06/18/2015,HOND,4D,,GRN,6946872,IL,701 N. Sacramento,(773) 265-7605,6820266
06/18/2015,HOND,4D,,BLU,A787902,IL,400 E. Lower Wacker,(312) 744-7550,928715
06/18/2015,HOND,4D,ACC,BLU,S984642,IL,701 N. Sacramento,(773) 265-7605,6820294
06/18/2015,HOND,4T,,BLK,R135568,IL,701 N. Sacramento,(773) 265-7605,6820272
06/18/2015,HOND,MC,,BLK,AL2510,IL,10300 S. Doty,(773) 785-9752,1715314
06/18/2015,HYUN,2D,,SIL,E437209,IL,10300 S. Doty,(773) 568-8495,2766342
06/18/2015,HYUN,4D,,RED,S898554,IL,701 N. Sacramento,(773) 265-7605,6820216
06/18/2015,HYUN,4D,,TAN,P909877,IL,701 N. Sacramento,(773) 265-7605,6820260
06/18/2015,HYUN,LL,,GRY,S712629,IL,701 N. Sacramento,(773) 265-7605,6820295
06/18/2015,ISU,LL,,TAN,S796646,IL,701 N. Sacramento,(773) 265-7605,6820275
06/18/2015,JEEP,LB,,SIL,S252742,IL,400 E. Lower Wacker,(312) 744-7550,928725
06/18/2015,JEEP,LL,,BLK,V583069,IL,701 N. Sacramento,(773) 265-7605,6820257
06/18/2015,JEEP,LL,,GRY,L296427,IL,701 N. Sacramento,(773) 265-7605,6820319
06/18/2015,JEEP,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2766370
06/18/2015,JEEP,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2766354
06/18/2015,JEEP,LL,,BLU,R418516,IL,701 N. Sacramento,(773) 265-7605,6820265
06/18/2015,JEEP,LL,,GRN,Y851667,IL,701 N. Sacramento,(773) 265-7605,6820325
06/18/2015,JEEP,LL,,BLU,E285788,IL,701 N. Sacramento,(773) 265-7605,6820324
06/18/2015,JEEP,LL,,TAN,V178915,IL,701 N. Sacramento,(773) 265-7605,6820255
06/18/2015,LINC,4D,,SIL,922ACJ,KY,10300 S. Doty,(773) 785-9752,1715311
06/18/2015,LINC,4D,,WHI,S936858,IL,701 N. Sacramento,(773) 265-7605,6820259
06/18/2015,LINC,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2766341
06/18/2015,MERC,4D,,RED,R474340,IL,701 N. Sacramento,(773) 265-7605,6820318
06/18/2015,MERZ,4D,,SIL,V513342,IL,701 N. Sacramento,(773) 265-7605,6820307
06/18/2015,MITS,4D,,DBL,N538610,IL,701 N. Sacramento,(773) 265-7605,6820290
06/18/2015,MITS,LL,,SIL,RVL999,IL,10300 S. Doty,(773) 568-8495,2766365
06/18/2015,NISS,4D,,WHI,R751286,IL,701 N. Sacramento,(773) 265-7605,6820320
06/18/2015,NISS,4D,,BLK,N831594,IL,701 N. Sacramento,(773) 265-1846,1533493
06/18/2015,NISS,4D,,GLD,,,10300 S. Doty,(773) 568-8495,2766343
06/18/2015,NISS,4D,MAX,GRN,S947345,IL,701 N. Sacramento,(773) 265-7605,6820296
06/18/2015,NISS,4D,ALT,SIL,P349606,IL,701 N. Sacramento,(773) 265-7605,6820314
06/18/2015,NISS,4D,ALT,WHI,S436844,IL,701 N. Sacramento,(773) 265-7605,6820291
06/18/2015,NISS,4D,ALT,WHI,E554531,IL,701 N. Sacramento,(773) 265-7605,6820283
06/18/2015,NISS,4D,ALT,GRY,V852083,IL,701 N. Sacramento,(773) 265-7605,6820286
06/18/2015,NISS,4T,,GRY,R140206,IL,701 N. Sacramento,(773) 265-7605,6820264
06/18/2015,NISS,4T,,SIL,5596241,IL,701 N. Sacramento,(773) 265-7605,6820270
06/18/2015,NISS,LL,,GRY,E309614,IL,10300 S. Doty,(773) 568-8495,2766336
06/18/2015,OLDS,4D,,SIL,R980403,IL,10300 S. Doty,(773) 568-8495,2766358
06/18/2015,OLDS,VN,SIL,WHI,E324199,IL,701 N. Sacramento,(773) 265-7605,6820299
06/18/2015,PONT,2D,,BLK,N925989,IL,10300 S. Doty,(773) 568-8495,2766362
06/18/2015,PONT,4D,,RED,E155810,IL,10300 S. Doty,(773) 568-8495,2766346
06/18/2015,PONT,4D,,BLU,,,10300 S. Doty,(773) 568-8495,2766347
06/18/2015,PONT,4D,,GRY,0551497,NB,701 N. Sacramento,(773) 265-7605,6820254
06/18/2015,PONT,VN,,GRY,S142174,IL,701 N. Sacramento,(773) 265-7605,6820268
06/18/2015,SUBA,SW,,RED,N979533,IL,701 N. Sacramento,(773) 265-7605,6820279
06/18/2015,SUBA,SW,STA,GRN,V355158,IL,701 N. Sacramento,(773) 265-7605,6820322
06/18/2015,TOYO,VN,,GRY,V387348,IL,10300 S. Doty,(773) 568-8495,2766360
06/18/2015,TOYT,2D,CST,BLU,3106469,IL,701 N. Sacramento,(773) 265-7605,6820317
06/18/2015,TOYT,4D,,GRY,MRNDA,OH,400 E. Lower Wacker,(312) 744-7550,928731
06/18/2015,TOYT,4D,,BLK,R845960,IL,10300 S. Doty,(773) 568-8495,2766371
06/18/2015,TOYT,4D,,RED,8236597,IL,400 E. Lower Wacker,(312) 744-7550,928696
06/18/2015,TOYT,4D,,BLK,R947653,IL,10300 S. Doty,(773) 568-8495,2766364
06/18/2015,TOYT,4D,COA,BLU,E988143,IL,400 E. Lower Wacker,(312) 744-7550,928748
06/18/2015,TOYT,4D,,WHI,E599300,IL,10300 S. Doty,(773) 568-8495,2766363
06/18/2015,TOYT,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2766340
06/18/2015,TOYT,SW,COA,GLD,V763407,IL,701 N. Sacramento,(773) 265-7605,6820287
06/18/2015,TOYT,VN,,SIL,JLL2075,PA,701 N. Sacramento,(773) 265-7605,6820269
06/18/2015,VOLK,4D,JET,GRY,H127985,IL,701 N. Sacramento,(773) 265-7605,6820308
06/18/2015,VOLK,4D,PAS,GRY,S817446,IL,701 N. Sacramento,(773) 265-7605,6820297
06/18/2015,VOLV,4T,,MAR,N562649,IL,701 N. Sacramento,(773) 265-7605,6820277
06/18/2015,,MC,,BLK,,IL,10300 S. Doty,(773) 568-8495,2766369
06/17/2015,ACUR,2T,,RED,V284548,IL,701 N. Sacramento,(773) 265-7605,6820158
06/17/2015,ACUR,4D,,BLK,E362210,IL,10300 S. Doty,(773) 568-8495,2766330
06/17/2015,BMW,4T,,SIL,N908270,IL,701 N. Sacramento,(773) 265-7605,6820253
06/17/2015,BUIC,4D,,GLD,V517646,IL,701 N. Sacramento,(773) 265-7605,6820249
06/17/2015,BUIC,4D,,TAN,R996649,IL,10300 S. Doty,(773) 568-8495,2766326
06/17/2015,BUIC,4D,,GRY,WVM624,IN,10300 S. Doty,(773) 568-8495,2766312
06/17/2015,BUIC,4D,LES,BGE,E478309,IL,701 N. Sacramento,(773) 265-7605,6820196
06/17/2015,BUIC,LL,,WHI,995R059,IL,701 N. Sacramento,(773) 265-7605,6820244
06/17/2015,CADI,4D,DEV,WHI,P135816,IL,701 N. Sacramento,(773) 265-7605,6820200
06/17/2015,CHEV,2D,,BLU,146KJA,IN,10300 S. Doty,(773) 568-8495,2766332
06/17/2015,CHEV,2D,CAV,RED,,IL,701 N. Sacramento,(773) 265-7605,6820213
06/17/2015,CHEV,2D,,SIL,,,10300 S. Doty,(773) 568-8495,2766304
06/17/2015,CHEV,2D,,WHI,00126445,IL,10300 S. Doty,(773) 568-8495,2766301
06/17/2015,CHEV,4D,,TAN,E596950,IL,10300 S. Doty,(773) 568-8495,2766303
06/17/2015,CHEV,4D,,TAN,180WMC,IA,701 N. Sacramento,(773) 265-7605,6820247
06/17/2015,CHEV,4D,MAL,SIL,R456449,IL,10300 S. Doty,(773) 568-8495,2766314
06/17/2015,CHEV,4D,MAL,GLD,R181205,IL,701 N. Sacramento,(773) 265-7605,6820217
06/17/2015,CHEV,4D,,YEL,H840175,IL,701 N. Sacramento,(773) 265-7605,6820179
06/17/2015,CHEV,4D,,GRY,928R424,IL,701 N. Sacramento,(773) 265-7605,6820243
06/17/2015,CHEV,4D,,TAN,97248PV,IL,701 N. Sacramento,(773) 265-7605,6820198
06/17/2015,CHEV,4D,,WHI,S948616,IL,701 N. Sacramento,(773) 265-7605,6820164
06/17/2015,CHEV,4D,,GRY,E354711,IL,701 N. Sacramento,(773) 265-7605,6820161
06/17/2015,CHEV,4D,,SIL,R541298,IL,701 N. Sacramento,(773) 265-7605,6820228
06/17/2015,CHEV,4D,,BLU,V431890,IL,701 N. Sacramento,(773) 265-7605,6820225
06/17/2015,CHEV,LL,,GLD,N544683,IL,701 N. Sacramento,(773) 265-7605,6820173
06/17/2015,CHEV,LL,,TAN,V151396,IL,701 N. Sacramento,(773) 265-7605,6820177
06/17/2015,CHEV,LL,SUB,GLD,E529394,IL,10300 S. Doty,(773) 568-8495,2766315
06/17/2015,CHEV,LL,,RED,S795044,IL,701 N. Sacramento,(773) 265-1846,1533490
06/17/2015,CHEV,VN,TK,WHI,V490668,IL,701 N. Sacramento,(773) 265-7605,6820246
06/17/2015,CHEV,VN,TK,BLU,V605270,IL,701 N. Sacramento,(773) 265-7605,6820168
06/17/2015,CHRY,2D,,SIL,E673992,IL,10300 S. Doty,(773) 568-8495,2766298
06/17/2015,DODG,4D,INT,SIL,R489049,IL,701 N. Sacramento,(773) 265-7605,6820193
06/17/2015,DODG,4D,,GRN,N641493,IL,10300 S. Doty,(773) 568-8495,2766329
06/17/2015,DODG,4D,,GRN,2844250,IL,701 N. Sacramento,(773) 265-7605,6820167
